               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11282,            0.026695,                   0,           0.0014571,              0.0625,          0.00083368,          0.00015222,            0.098322,             0.01724,                   0,           0.0015333,           0.0015333,            0.027575
                   1,            0.094297,            0.018285,                   0,           0.0085862,            0.080357,           0.0033281,           0.0005797,            0.085771,            0.015343,                   0,           0.0031333,           0.0031333,            0.004175
                   2,            0.081269,            0.018529,                   0,            0.036774,             0.14286,            0.019666,           0.0047378,            0.077241,            0.015188,                   0,           0.0031998,           0.0031998,           0.0031998
                   3,            0.074385,            0.019226,                   0,             0.24449,             0.22321,             0.13752,            0.029568,            0.064912,            0.016178,                   0,           0.0031993,           0.0031993,           0.0031993
                   4,            0.068013,             0.01721,                   0,             0.40297,               0.375,             0.30907,             0.11275,            0.055166,            0.016268,                   0,           0.0031984,           0.0031984,           0.0031984
                   5,            0.060607,            0.018345,                   0,              0.5098,              0.4375,              0.3525,            0.097537,            0.053987,            0.015235,                   0,           0.0031972,           0.0031972,           0.0031972
                   6,            0.058674,            0.016449,                   0,             0.58407,             0.61607,             0.60473,             0.21397,            0.046687,            0.013981,                   0,           0.0031956,           0.0031956,           0.0031956
                   7,            0.054523,            0.016151,                   0,             0.50408,             0.45378,             0.40546,             0.14286,            0.052903,            0.012945,                   0,           0.0031937,           0.0031937,           0.0031937
                   8,            0.052415,            0.014384,                   0,             0.62924,             0.60615,             0.64361,              0.2655,            0.042481,            0.011638,                   0,           0.0031914,           0.0031914,           0.0031914
                   9,            0.049069,            0.013969,                   0,             0.71121,             0.64286,              0.6607,             0.33671,            0.038424,            0.011893,                   0,           0.0031888,           0.0031888,           0.0031888
                  10,            0.047764,             0.01317,                   0,              0.8349,             0.72321,              0.7789,             0.41223,            0.035416,             0.01004,                   0,           0.0031858,           0.0031858,           0.0031858
                  11,             0.04675,            0.012555,                   0,             0.81501,             0.66874,             0.77468,             0.34909,            0.036784,            0.010186,                   0,           0.0031825,           0.0031825,           0.0031825
                  12,            0.044055,            0.012515,                   0,             0.79767,             0.65179,             0.71624,             0.43707,            0.033366,            0.010169,                   0,           0.0031788,           0.0031788,           0.0031788
                  13,            0.041844,            0.011958,                   0,             0.82763,             0.68592,             0.78279,             0.43954,            0.034298,           0.0089672,                   0,           0.0031747,           0.0031747,           0.0031747
                  14,            0.042753,            0.011544,                   0,             0.85293,             0.69643,              0.8206,             0.46457,            0.032239,           0.0085191,                   0,           0.0031703,           0.0031703,           0.0031703
                  15,            0.040384,            0.011313,                   0,             0.73728,             0.78571,             0.79909,             0.40365,            0.034206,           0.0088656,                   0,           0.0031656,           0.0031656,           0.0031656
                  16,            0.042188,            0.010239,                   0,             0.83777,             0.78571,             0.85153,             0.48002,            0.032539,           0.0073229,                   0,           0.0031605,           0.0031605,           0.0031605
                  17,            0.040718,            0.011081,                   0,             0.88207,             0.80357,             0.87849,              0.5536,            0.028562,           0.0073233,                   0,           0.0031551,           0.0031551,           0.0031551
